speedup,baseline_time,verification_time
21.8462,262.9217,12.0351
20.3534,262.9217,12.9178
1.9073,11.4744,6.0162
2.0098,11.4744,5.7092
2.3714,17.3704,7.3250
2.0650,17.3704,8.4118
1.9468,17.3704,8.9225
2.4638,17.3704,7.0504
2.5794,17.3704,6.7342
2.2650,13.9144,6.1432
2.1312,12.3847,5.8112
2.3722,19.2147,8.0998
2.3831,19.2147,8.0629
2.1453,19.2147,8.9565
1.5597,10.2561,6.5757
1.4116,12.7968,9.0653
1.2309,12.7968,10.3964
1.2011,12.7968,10.6545
1.1798,12.7968,10.8466
1.6244,10.7565,6.6217
1.7480,11.0394,6.3154
1.7517,9.8746,5.6371
2.1591,38.6900,17.9196
1.1220,38.6900,34.4845
1.4930,9.0873,6.0867
1.3845,8.3232,6.0116
1.6678,11.8315,7.0940
1.4430,12.0283,8.3358
1.4207,12.0283,8.4663
1.8105,10.3026,5.6905
1.6132,11.5544,7.1626
3.2544,26.4656,8.1323
1.5906,10.3747,6.5225
1.5685,10.3747,6.6146
1.6947,20.7045,12.2172
1.8781,10.5015,5.5916
1.6644,12.2368,7.3522
1.8421,10.0047,5.4312
1.8762,10.6261,5.6636
1.2633,12.6933,10.0481
1.2178,12.6933,10.4233
1.1596,12.6933,10.9460
1.8770,11.7379,6.2537
1.0312,12.7836,12.3971
1.3409,14.2780,10.6484
1.2518,14.2780,11.4063
1.3346,14.2780,10.6982
1.2384,14.2780,11.5296
1.1956,14.2780,11.9426
1.4416,11.6251,8.0640
1.5998,11.6251,7.2665
1.6487,17.8743,10.8417
1.5102,17.8743,11.8357
1.4883,17.8743,12.0099
1.8484,10.4323,5.6440
1.8701,10.4323,5.5784
1.7765,10.4889,5.9041
1.7565,10.1396,5.7727
3.6880,38.2129,10.3613
3.6684,38.2129,10.4166
1.3116,11.7441,8.9540
1.2078,11.7441,9.7235
31.8898,264.6058,8.2975
28.8221,264.6058,9.1807
1.2139,13.3166,10.9703
1.2079,13.3166,11.0241
1.2034,13.3166,11.0660
1.1470,13.3166,11.6100
1.3610,12.6240,9.2756
1.2549,12.6240,10.0598
1.6586,11.2201,6.7647
1.6039,11.5223,7.1840
1.4315,11.5223,8.0488
1.5725,11.8300,7.5230
1.5009,11.8300,7.8819
2.1300,15.4125,7.2361
1.8743,10.7579,5.7396
1.4384,13.2768,9.2300
1.3435,13.2768,9.8824
1.2252,13.2768,10.8363
1.6275,13.2768,8.1580
1.6044,13.2768,8.2754
1.8131,13.2768,7.3228
1.3923,13.2768,9.5356
1.3616,13.2768,9.7511
1.3466,13.2768,9.8597
1.9576,13.2768,6.7821
1.8829,11.2645,5.9827
1.8589,11.2645,6.0599
1.3311,9.9267,7.4574
1.3007,9.9267,7.6321
1.2498,8.9274,7.1433
1.3826,9.1150,6.5927
1.1928,8.9699,7.5203
1.1284,8.9699,7.9489
1.1459,9.7528,8.5107
1.2325,9.7528,7.9132
1.0015,10.5606,10.5445
1.0953,11.9167,10.8796
1.0805,14.8987,13.7889
1.0093,14.8987,14.7618
2.9523,66.2684,22.4461
2.0078,66.2684,33.0056
3.3967,66.2684,19.5094
3.1699,66.2684,20.9057
1.7236,66.2684,38.4482
1.6515,66.2684,40.1268
1.2787,12.2748,9.5994
1.9131,24.3233,12.7140
1.8318,24.3233,13.2785
1.7492,24.3233,13.9053
1.5323,24.3233,15.8733
1.2469,24.3233,19.5075
1.1912,24.3233,20.4200
1.1687,24.3233,20.8127
1.1966,11.6808,9.7620
1.1705,11.6808,9.9795
1.1483,11.6808,10.1724
1.1100,10.5478,9.5021
1.1028,10.5478,9.5646
1.2924,12.7346,9.8536
1.2525,12.7346,10.1676
1.2981,11.8044,9.0939
1.1333,15.3154,13.5146
1.0841,15.3154,14.1267
1.4845,13.9128,9.3718
1.2249,13.9128,11.3579
1.0510,11.7095,11.1408
1.0349,12.0874,11.6799
1.1688,9.0910,7.7780
1.0300,9.4867,9.2099
1.4307,15.1830,10.6123
1.1975,15.1830,12.6794
1.1012,15.1830,13.7880
1.0658,15.1830,14.2451
1.0558,9.1675,8.6831
41.3864,546.8045,13.2122
1.0012,10.7022,10.6897
1.0005,9.6002,9.5954
1.0027,9.3195,9.2941
1.0360,19.7981,19.1106
1.1183,8.7858,7.8567
1.0420,10.4670,10.0455
2.0380,417.6073,204.9059
1.8076,417.6073,231.0290
1.3572,417.6073,307.6957
1.3431,417.6073,310.9257
1.4281,18.1565,12.7138
35.8545,513.6859,14.3269
1.4322,513.6859,358.6627
1.1424,513.6859,449.6532
3.7475,56.9711,15.2025
3.2715,56.9711,17.4143
1.0513,10.7437,10.2193
1.0360,10.7437,10.3706
1.1157,13.0497,11.6966
1.0704,13.0497,12.1918
1.0410,13.0497,12.5355
1.1847,13.9729,11.7946
1.0913,13.9729,12.8044
1.1327,10.8431,9.5727
1.1652,10.7882,9.2585
1.0530,10.5768,10.0442
1.0443,10.5768,10.1282
1.0036,10.5768,10.5389
1.0934,12.1470,11.1097
1.0354,12.1470,11.7321
1.0207,12.8880,12.6267
1.0149,12.8880,12.6985
1.0683,10.1383,9.4900
1.1167,10.6839,9.5673
1.0245,10.6839,10.4286
1.0129,10.6839,10.5475
1.1126,9.7500,8.7635
1.0855,12.3516,11.3784
1.0822,12.3516,11.4139
1.0604,12.3516,11.6485
1.0067,12.3516,12.2697
1.1385,10.7789,9.4676
1.4271,26.8180,18.7922
1.1208,11.1089,9.9114
1.1468,11.3708,9.9152
1.1395,11.3708,9.9786
1.2476,11.6288,9.3209
1.1771,11.6401,9.8891
1.4576,14.4049,9.8824
1.4465,14.4049,9.9583
1.1987,15.6317,13.0407
1.1832,15.6317,13.2114
1.1673,15.6317,13.3911
1.0618,15.6317,14.7218
1.0488,15.6317,14.9039
1.5791,17.7527,11.2426
1.4108,17.7527,12.5831
1.3247,16.0376,12.1068
1.3162,16.0376,12.1850
1.2314,16.0376,13.0242
1.2668,12.7803,10.0884
1.1482,12.7803,11.1312
1.1086,12.7803,11.5279
1.0977,12.7803,11.6429
1.0255,12.7803,12.4623
1.2734,12.3135,9.6699
1.3460,15.2659,11.3417
1.3412,15.2659,11.3826
1.2140,13.0276,10.7316
1.2577,13.0276,10.3580
1.1546,10.7793,9.3361
1.1601,11.6677,10.0579
1.1014,11.6677,10.5938
1.1461,15.0925,13.1691
1.0146,15.0925,14.8754
1.0675,15.0925,14.1384
1.2422,11.9029,9.5821
1.0598,19.1116,18.0328
1.1942,12.2442,10.2528
2.7614,28.3173,10.2546
1.0300,11.3175,10.9877
1.1883,14.9425,12.5742
1.1851,14.9425,12.6090
1.1580,14.9425,12.9036
1.1906,15.0784,12.6649
1.4607,14.7396,10.0907
1.1744,14.4899,12.3381
1.1662,14.4899,12.4251
1.1553,14.4899,12.5420
1.7895,82.6961,46.2129
4.3425,82.6961,19.0433
4.1396,82.6961,19.9770
5.4869,82.6961,15.0717
5.2219,82.6961,15.8365
1.1340,82.6961,72.9229
1.1213,82.6961,73.7482
