baseline_time,virtual_best_time,grade,chose
6.1734,6.1734,2,baseline
6.1734,6.1734,2,baseline
6.1734,6.1734,2,baseline
5.3427,5.3427,2,baseline
4.9262,4.9262,2,baseline
4.9262,4.9262,2,baseline
5.5945,5.5945,2,baseline
5.5945,5.5945,2,baseline
5.5945,5.5945,2,baseline
5.2538,5.2538,2,baseline
5.9364,5.9364,2,baseline
5.9364,5.9364,2,baseline
5.9364,5.9364,2,baseline
4.9795,4.9795,2,baseline
4.9795,4.9795,2,baseline
5.3424,5.3424,2,baseline
5.3424,5.3424,2,baseline
5.3424,5.3424,2,baseline
4.7229,4.7229,2,baseline
85.4215,69.2335,3,invariant
85.4215,79.4913,3,invariant
4.7352,4.7352,2,baseline
4.7352,4.7352,2,baseline
4.7352,4.7352,2,baseline
4.7352,4.7352,2,baseline
181.6020,48.7847,3,invariant
181.6020,58.6463,3,invariant
181.6020,70.3959,3,invariant
14.5345,14.5345,2,baseline
14.5345,14.5345,2,baseline
14.5345,14.5345,2,baseline
43.5971,23.8582,3,invariant
43.5971,25.8523,3,invariant
43.5971,27.3705,3,invariant
43.5971,43.5971,2,baseline
5.5126,5.5126,2,baseline
4.3650,4.3650,2,baseline
4.7652,4.7652,2,baseline
4.5194,4.5194,2,baseline
4.5431,4.5431,2,baseline
5.1647,5.1647,2,baseline
5.1647,5.1647,2,baseline
5.1647,5.1647,2,baseline
8.5305,8.5305,2,baseline
8.5305,8.5305,2,baseline
8.5305,8.5305,2,baseline
5.1833,5.1833,2,baseline
5.1833,5.1833,2,baseline
5.7179,5.7179,2,baseline
5.7179,5.7179,2,baseline
5.7179,5.7179,2,baseline
11.9401,11.9401,2,baseline
11.9401,11.9401,2,baseline
21.3126,21.3126,2,baseline
21.3126,21.3126,2,baseline
21.3126,21.3126,2,baseline
5.1320,5.1320,2,baseline
5.1320,5.1320,2,baseline
5.1320,5.1320,2,baseline
9.1981,9.1981,2,baseline
9.1981,9.1981,2,baseline
9.1981,9.1981,2,baseline
9.1981,9.1981,2,baseline
5.7581,5.7581,2,baseline
5.4303,5.4303,2,baseline
5.4303,5.4303,2,baseline
15.0861,15.0861,2,baseline
15.0861,15.0861,2,baseline
15.0861,15.0861,1,baseline
4.9211,4.9211,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
5.8733,5.8733,2,baseline
4.4338,4.4338,2,baseline
10.3274,10.3274,2,baseline
10.3274,10.3274,2,baseline
10.3274,10.3274,2,baseline
6.0027,6.0027,2,baseline
6.0027,6.0027,2,baseline
6.0027,6.0027,2,baseline
6.0027,6.0027,2,baseline
4.8709,4.8709,2,baseline
6.8943,6.8943,2,baseline
6.8943,6.8943,2,baseline
6.8943,6.8943,2,baseline
6.8943,6.8943,2,baseline
6.8943,6.8943,2,baseline
6.8943,6.8943,2,baseline
14.7084,14.7084,2,baseline
5.3253,5.3253,2,baseline
5.3253,5.3253,2,baseline
9.1075,9.1075,2,baseline
9.1075,9.1075,2,baseline
9.1075,9.1075,2,baseline
4.8981,4.8981,2,baseline
5.5584,5.5584,2,baseline
5.5584,5.5584,2,baseline
5.5584,5.5584,2,baseline
5.9561,5.9561,2,baseline
5.9561,5.9561,2,baseline
5.8872,5.8872,2,baseline
5.9617,5.9617,2,baseline
17.0673,17.0673,2,baseline
17.0673,17.0673,2,baseline
17.0673,17.0673,2,baseline
17.0673,17.0673,2,baseline
5.1573,5.1573,2,baseline
5.1573,5.1573,2,baseline
5.1373,5.1373,2,baseline
5.1373,5.1373,2,baseline
388.6424,75.2514,3,invariant
388.6424,83.9368,3,invariant
388.6424,95.9996,3,invariant
388.6424,138.0451,3,invariant
388.6424,388.6424,1,baseline
21.0617,21.0617,2,baseline
21.0617,21.0617,2,baseline
21.0617,21.0617,1,baseline
21.0617,21.0617,1,baseline
21.0617,21.0617,2,baseline
21.0617,21.0617,2,baseline
21.0617,21.0617,2,baseline
21.0617,21.0617,2,baseline
5.5705,5.5705,2,baseline
7.0863,7.0863,2,baseline
7.0863,7.0863,2,baseline
6.2917,6.2917,2,baseline
6.2917,6.2917,2,baseline
12.3010,12.3010,2,baseline
12.3010,12.3010,2,baseline
12.3010,12.3010,2,baseline
12.3010,12.3010,2,baseline
593.5901,177.6638,3,invariant
593.5901,190.7297,3,invariant
593.5901,191.3255,3,invariant
6.2503,6.2503,2,baseline
4.5450,4.5450,2,baseline
4.6340,4.6340,2,baseline
4.6340,4.6340,2,baseline
4.6340,4.6340,2,baseline
5.4230,5.4230,2,baseline
5.4230,5.4230,2,baseline
5.5021,5.5021,2,baseline
5.5021,5.5021,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.4604,7.4604,2,baseline
7.7760,7.7760,2,baseline
6.3706,6.3706,2,baseline
37.4150,37.4150,2,baseline
37.4150,37.4150,2,baseline
37.4150,37.4150,2,baseline
37.4150,37.4150,1,baseline
37.4150,37.4150,2,baseline
6.0665,6.0665,2,baseline
6.0665,6.0665,2,baseline
6.0665,6.0665,2,baseline
6.2514,6.2514,2,baseline
6.2514,6.2514,2,baseline
6.2514,6.2514,2,baseline
6.2514,6.2514,2,baseline
4.3718,4.3718,2,baseline
13.8593,13.8593,2,baseline
5.3826,5.3826,2,baseline
5.3826,5.3826,2,baseline
5.3826,5.3826,2,baseline
114.2632,114.2632,2,baseline
5.6497,5.6497,2,baseline
5.6497,5.6497,2,baseline
5.6497,5.6497,2,baseline
4.8284,4.8284,2,baseline
35.0747,35.0747,2,baseline
35.0747,35.0747,2,baseline
35.0747,35.0747,2,baseline
35.0747,35.0747,1,baseline
35.0747,35.0747,2,baseline
35.0747,35.0747,2,baseline
35.0747,35.0747,2,baseline
4.5754,4.5754,2,baseline
4.8308,4.8308,2,baseline
4.8308,4.8308,2,baseline
4.8308,4.8308,2,baseline
5.4317,5.4317,2,baseline
217.2238,217.2238,1,baseline
217.2238,217.2238,1,baseline
217.2238,217.2238,1,baseline
9.0859,9.0859,2,baseline
9.0859,9.0859,2,baseline
9.0859,9.0859,2,baseline
9.0859,9.0859,2,baseline
9.0859,9.0859,2,baseline
