display_name,timeout_solved,total,rate,vbs_scores,vbs_e2e_scores,speedup_vals,speedup_vals_e2e,vbp,vbp_e2e,avg_speedup,avg_speedup_e2e,avg_speedup_all,avg_speedup_all_e2e
eval-qwen3-4b-nt-gen-inv-sft-v2.2-latest-nt-run0,3,20,0.15,"[54.42, 6.22, 452.49]","[55.25956293202937, 6.856438000015914, 453.2908447029861]","[11.045755237045205, 96.64147909967846, 1.3284492474971823]","[10.877936199737595, 87.67088683637259, 1.326102230001735]",535.6565,535.7703422817516,36.33856119474028,33.29164175537064,6.300784179211042,5.843746263305595
eval-qwen3-0.6b-gen-inv-sft-v1-latest-nt-run0,3,20,0.15,"[32.19, 11.49, 8.64]","[32.58698045002296, 12.001206074035727, 9.03548239693977]","[18.67381174277726, 52.315926892950394, 69.57291666666666]","[18.446324013416728, 50.087465900655154, 66.52771524446665]",512.616,512.6811834460499,46.85421843413144,45.02050171951284,7.878132765119716,7.6030752579269265
eval-qwen3-8b-gen-inv-sft-v1-latest-nt-run1,3,20,0.15,"[45.02, 6.98, 120.52]","[45.79804155298509, 7.752435755934567, 122.1893777050823]","[13.352065748556196, 86.1189111747851, 4.987636906737471]","[13.125233735258272, 77.53821107641484, 4.919494732601438]",518.626,518.7869927507002,34.81953794335959,31.860979848091517,6.072930691503939,5.629146977213727
eval-qwen3-8b-gen-inv-sft-v0-latest-nt-run0,3,20,0.15,"[56.24, 6.63, 7.34]","[57.19726551185362, 8.949620033027603, 8.02407579488121]","[10.68830014224751, 90.66515837104073, 81.89509536784742]","[10.50941849441081, 67.16597998369413, 74.91330034338229]",513.5105,513.7085480669881,61.08285129371188,50.86289960716241,10.012427694056782,8.479434941074363
eval-qwen3-8b-gen-inv-sft-v1-latest-nt-run2,3,20,0.15,"[43.85, 18.22, 144.93]","[44.628623880119996, 19.1436086870078, 146.51530230191537]","[13.708323831242874, 32.991767288693744, 4.147588490995653]","[13.469158305545848, 31.400035898558436, 4.102711392980157]",520.35,520.5143767434522,16.949226536977424,16.32396853236148,3.392383980546613,3.2985952798542213
eval-qwen3-0.6b-gen-inv-sft-v0-latest-nt-run2,3,20,0.15,"[90.7, 10.87, 99.92]","[92.13765142606572, 11.599905740008689, 102.3897011000244]","[6.627453142227123, 55.29990800367986, 6.015912730184147]","[6.524043001924685, 51.82024867036116, 5.870805301138405]",520.0745,520.306362913305,22.647757958697042,21.40503232447475,4.2471636938045565,4.060754848671213
eval-gpt-oss-120b-run1,2,20,0.1,"[88.62, 420.87]","[94.33685534599238, 424.30966216477566]","[6.7830060934326335, 1.4282557559341365]","[6.371952910613279, 1.416677614488463]",565.4745,565.9323258755384,4.105630924683385,3.894315262550871,1.3105630924683385,1.2894315262550873
eval-gpt-5.2-run1,2,20,0.1,"[45.48, 12.28]","[58.35843593093566, 35.69910858103074]","[13.217018469656994, 48.950325732899024]","[10.300310322082384, 16.838235572061564]",542.888,544.7028772255983,31.083672101278008,13.569272947071973,4.008367210127801,2.2569272947071974
eval-Qwen3-14B-nt-run1,2,20,0.1,"[6.11, 450.35]","[7.250253466088325, 452.0716719789431]","[98.38134206219313, 1.334761851892972]","[82.90882557576465, 1.3296785382915985]",562.823,562.9660962722515,49.85805195704305,42.11925205702813,5.885805195704306,5.111925205702812
eval-Qwen3-0.6B-t-run2,2,20,0.1,"[50.97, 53.17]","[80.75810796397738, 85.92519945006818]","[11.793407886992348, 11.305435395899943]","[7.443339314835466, 6.995735870817616]",545.207,548.3341653707023,11.549421641446145,7.219537592826541,2.0549421641446144,1.621953759282654
eval-Qwen3-14B-nt-run0,2,20,0.1,"[5.75, 400.28]","[6.891510330024175, 402.0031099139899]","[104.54086956521739, 1.5017237933446588]","[87.22471145129828, 1.4952869397667343]",560.3014999999999,560.4447310122007,53.02129667928102,44.3599991955325,6.202129667928102,5.335999919553251
eval-Qwen3-0.6B-nt-run0,2,20,0.1,"[35.16, 393.45]","[35.59565891101025, 394.1203075519763]","[17.096416382252563, 1.527792603888677]","[16.887171593108732, 1.5251941817809682]",561.4305,561.4857983231493,9.31210449307062,9.20618288744485,1.831210449307062,1.820618288744485
eval-Qwen3-0.6B-t-run0,2,20,0.1,"[57.35, 436.64]","[81.01511294001247, 452.58383642601314]","[10.481429816913687, 1.3766718578233785]","[7.419726742158479, 1.328173813600759]",564.6995000000001,566.6799474683014,5.929050837368533,4.3739502778796195,1.4929050837368534,1.337395027787962
eval-qwen3-8b-nt-gen-inv-sft-v2.3-latest-nt-run1,2,20,0.1,"[56.58, 510.96]","[57.50464035598095, 511.7837668330548]","[10.62407211028632, 1.176432597463598]","[10.453243360515682, 1.1745390122857955]",568.3770000000001,568.4644203594519,5.90025235387496,5.813891186400738,1.4900252353874959,1.4813891186400738
eval-qwen3-8b-gen-inv-sft-v1-latest-nt-run0,2,20,0.1,"[47.66, 7.43]","[48.437629749849435, 8.054806361971423]","[12.612463281577844, 80.90309555854644]","[12.40997966053177, 74.62749233029082]",542.7545,542.824621805591,46.75777942006214,43.5187359954113,5.575777942006214,5.251873599541129
eval-qwen3-4b-nt-gen-inv-sft-v2.2-latest-nt-run1,2,20,0.1,"[61.32, 296.86]","[62.14351615896914, 297.55161885697396]","[9.802837573385519, 2.024893889375463]","[9.672931902699267, 2.020187294927605]",557.909,557.9847567507971,5.913865731380491,5.846559598813435,1.491386573138049,1.4846559598813438
